,family,genus,species,full_len_mismatch_sum
1,Achnanthaceae,Achnanthes,Achnanthes biasolettiana,
2,Achnanthaceae,Achnanthes,Achnanthes bioretii,
3,Achnanthaceae,Achnanthes,Achnanthes chlidanos,
4,Achnanthidiaceae,Karayevia,Achnanthes clevei,
5,Achnanthaceae,Achnanthes,Achnanthes conspicua,
6,Achnanthaceae,Achnanthes,Achnanthes daui,
7,Achnanthidiaceae,Achnanthidium,Achnanthes delicatula,
8,Achnanthaceae,Achnanthes,Achnanthes delicatula,
9,Achnanthidiaceae,Planothidium,Achnanthes delicatula,
10,Achnanthaceae,Achnanthes,Achnanthes distincta,
11,Achnanthaceae,Achnanthes,Achnanthes exigua,
12,Achnanthaceae,Achnanthes,Achnanthes exilis,
13,Achnanthaceae,Achnanthes,Achnanthes grana,
14,Achnanthidiaceae,Psammothidium,Achnanthes helvetica,
15,Achnanthidiaceae,Achnanthidium,Achnanthes hungarica,
16,Achnanthaceae,Achnanthes,Achnanthes impexiformis,
17,Achnanthaceae,Achnanthes,Achnanthes inflata,
18,Achnanthidiaceae,Planothidium,Achnanthes lanceolata,
19,Achnanthaceae,Achnanthes,Achnanthes lanceolata,
20,Naviculaceae,Nupela,Achnanthes lapidosa,
21,Achnanthaceae,Achnanthes,Achnanthes laterostrata,
22,Achnanthaceae,Achnanthes,Achnanthes minutissima,
23,Achnanthaceae,Achnanthes,Achnanthes oblongella,
24,Achnanthaceae,Achnanthes,Achnanthes ploenensis,
25,Achnanthidiaceae,Karayevia,Achnanthes ploenensis,
26,Achnanthaceae,Achnanthes,Achnanthes rupestoides,
27,Achnanthaceae,Achnanthes,Achnanthes saccula,
28,Naviculaceae,Navicula,Achnanthes silvahercynia,
29,Naviculaceae,Navicula,Achnanthes subatomoides,
30,Achnanthaceae,Achnanthes,Achnanthes subhudsonis,
31,Achnanthaceae,Achnanthes,Achnanthes suchlandtii,
32,Naviculaceae,Navicula,Achnanthes ventralis,
34,Achnanthidiaceae,Achnanthidium,Achnanthidium affine,
35,Achnanthidiaceae,Achnanthidium,Achnanthidium alteragracillimum,
36,Achnanthidiaceae,Achnanthidium,Achnanthidium atomoides,
37,Achnanthaceae,Achnanthes,Achnanthidium biasolettianum,
38,Achnanthidiaceae,Psammothidium,Achnanthidium bioretii,
40,Achnanthaceae,Achnanthes,Achnanthidium daonense,
41,Achnanthaceae,Achnanthes,Achnanthidium eutrophilum,
42,Achnanthaceae,Achnanthes,Achnanthidium exiguum,
43,Achnanthaceae,Achnanthes,Achnanthidium exile,
44,Achnanthidiaceae,Psammothidium,Achnanthidium helveticum,
45,Achnanthidiaceae,Achnanthidium,Achnanthidium lineare,
46,Achnanthaceae,Achnanthes,Achnanthidium macrocephalum,
52,Naviculaceae,Navicula,Achnanthidium subatomoides,
53,Achnanthaceae,Achnanthes,Achnanthidium subatomus,
54,Achnanthaceae,Achnanthes,Achnanthidium subhudsonis,
57,Amphipleuraceae,Amphipleura,Amphipleura lindheimeri,
58,Amphipleuraceae,Amphipleura,Amphipleura pellucida,
60,Catenulaceae,Amphora,Amphora inariensis,
62,Catenulaceae,Amphora,Amphora lange-bertalotii,
63,Catenulaceae,Amphora,Amphora libyca,
64,Catenulaceae,Amphora,Amphora montana,
67,Catenulaceae,Amphora,Amphora veneta,
68,Anaulaceae,Anaulus,Anaulus balticus,
69,Brachysiraceae,Brachysira,Anomoeoneis brachysira,
70,Gomphonemataceae,Gomphonema,Anomoeoneis vitrea,
73,Aulacoseiraceae,Aulacoseira,Aulacoseira alpigena,
75,Aulacoseiraceae,Aulacoseira,Aulacoseira distans,
77,Melosiraceae,Melosira,Aulacoseira lacustris,
81,Melosiraceae,Melosira,Aulacoseira tenuior,
82,Brachysiraceae,Brachysira,Brachysira brebissonii,
83,Brachysiraceae,Brachysira,Brachysira neglectissima,
87,Naviculaceae,Caloneis,Caloneis bacillum,
88,Naviculaceae,Navicula,Caloneis lancettula,
89,Naviculaceae,Caloneis,Caloneis schumanniana,
91,Naviculaceae,Navicula,Chamaepinnularia evanida,
94,Cocconeidaceae,Cocconeis,Cocconeis lineata,
95,Cocconeidaceae,Cocconeis,Cocconeis neothumensis,
98,Cocconeidaceae,Cocconeis,Cocconeis pseudolineata,
100,Naviculaceae,Navicula,Craticula accomoda,
103,Naviculaceae,Navicula,Craticula minusculoides,
105,Naviculaceae,Navicula,Craticula submolesta,
109,Stephanodiscaceae,Cyclotella,Cyclotella atomus,
110,Stephanodiscaceae,Lindavia,Cyclotella bodanica,
111,Stephanodiscaceae,Cyclotella,Cyclotella comta,
113,Stephanodiscaceae,Pantocsekiella,Cyclotella gordonensis,
114,Stephanodiscaceae,Cyclotella,Cyclotella iris,
115,Stephanodiscaceae,Cyclotella,Cyclotella meneghiniana,
116,Stephanodiscaceae,Pantocsekiella,Cyclotella ocellata,
117,Stephanodiscaceae,Cyclotella,Cyclotella pseudostelligera,
118,Stephanodiscaceae,Cyclotella,Cyclotella radiosa,
119,Stephanodiscaceae,Cyclotella,Cyclotella stelligera,
120,Surirellaceae,Cymatopleura,Cymatopleura solea,
121,Cymbellaceae,Encyonopsis,Cymbella aequalis,
122,Cymbellaceae,Cymbella,Cymbella affinis,
123,Cymbellaceae,Cymbella,Cymbella amphicephala,
125,Cymbellaceae,Encyonema,Cymbella caespitosa,
126,Cymbellaceae,Encyonopsis,Cymbella cesatii,
127,Cymbellaceae,Cymbella,Cymbella cistula,
130,Cymbellaceae,Cymbella,Cymbella gracilis,
131,Amphipleuraceae,Frustulia,Cymbella lanceolata,
132,Naviculaceae,Cocconema,Cymbella leptoceros,
133,Cymbellaceae,Cymbella,Cymbella mesiana,
134,Cymbellaceae,Encyonopsis,Cymbella microcephala,
135,Cymbellaceae,Cymbella,Cymbella minuta,
136,Cymbellaceae,Cymbella,Cymbella naviculiformis,
137,Cymbellaceae,Cymbella,Cymbella neoleptoceros,
138,Cymbellaceae,Cymbella,Cymbella perparva,
139,Cymbellaceae,Cymbella,Cymbella silesiaca,
140,Cymbellaceae,Cymbella,Cymbella simonsenii,
141,Cymbellaceae,Cymbella,Cymbella sinuata,
143,Cymbellaceae,Cymbella,Cymbella tumidula,
144,Cymbellaceae,Cymbella,Cymbella turgidula,
145,Cymbellaceae,Cymbella,Cymbopleura amphicephala,
148,Bacillariaceae,Denticula,Denticula subtilis,
149,Bacillariaceae,Denticula,Denticula tenuis,
150,Diadesmidaceae,Diadesmis,Diadesmis confervacea,
151,Diadesmidaceae,Humidophila,Diadesmis contenta,
152,Diadesmidaceae,Humidophila,Diadesmis perpusilla,
153,Fragilariaceae,Diatoma,Diatoma hyemalis,
154,Fragilariaceae,Diatoma,Diatoma mesodon,
156,Diploneidaceae,Diploneis,Diploneis elliptica,
158,Diploneidaceae,Diploneis,Diploneis oblongella,
159,Naviculaceae,Navicula,Diploneis oculata,
160,Diploneidaceae,Diploneis,Diploneis ovalis,
161,Diploneidaceae,Diploneis,Diploneis parma,
162,Diploneidaceae,Diploneis,Diploneis separanda,
167,Cymbellaceae,Encyonema,Encyonema lange-bertalotii,
168,Cymbellaceae,Cymbella,Encyonema mesianum,
170,Cymbellaceae,Encyonema,Encyonema neogracile,
171,Cymbellaceae,Encyonema,Encyonema rostratum,
174,Cymbellaceae,Encyonopsis,Encyonopsis aequalis,
175,Cymbellaceae,Encyonopsis,Encyonopsis cesatii,
176,Cymbellaceae,Encyonopsis,Encyonopsis horticola,
178,Cymbellaceae,Encyonopsis,Encyonopsis minuta,
179,Cymbellaceae,Encyonopsis,Encyonopsis subminuta,
180,Cymbellaceae,Encyonopsis,Encyonopsis tavirana,
181,Naviculaceae,Eolimna,,
182,Naviculaceae,Eolimna,Eolimna comperei,
183,Sellaphoraceae,Sellaphora,Eolimna minima,
184,Naviculaceae,Navicula,Eolimna subminuscula,
185,Amphipleuraceae,Frustulia,Epithemia adnata,
189,Eunotiaceae,Eunotia,Eunotia arculus,
192,Eunotiaceae,Eunotia,Eunotia bilunaris,
193,Eunotiaceae,Eunotia,Eunotia circumborealis,
195,Eunotiaceae,Eunotia,Eunotia faba,
196,Eunotiaceae,Eunotia,Eunotia fallax,
197,Eunotiaceae,Eunotia,Eunotia formica,
200,Eunotiaceae,Eunotia,Eunotia incisa,
201,Eunotiaceae,Eunotia,Eunotia intermedia,
204,Eunotiaceae,Eunotia,Eunotia naegelii,
205,Eunotiaceae,Eunotia,Eunotia paludosa,
207,Eunotiaceae,Eunotia,Eunotia rhomboidea,
208,Eunotiaceae,Eunotia,Eunotia robusta,
209,Eunotiaceae,Eunotia,Eunotia siolii,
210,Eunotiaceae,Eunotia,Eunotia soleirolii,
211,Eunotiaceae,Eunotia,Eunotia subarcuatoides,
212,Eunotiaceae,Eunotia,Eunotia sudetica,
213,Eunotiaceae,Eunotia,Eunotia torula,
214,Eunotiaceae,Eunotia,Eunotia veneris,
215,Naviculaceae,Navicula,Fallacia helensis,
216,Naviculaceae,Navicula,Fallacia mitis,
219,Sellaphoraceae,Fallacia,Fallacia subhamulata,
222,Eunotiaceae,Eunotia,Fragilaria arcus,
223,Fragilariaceae,Fragilaria,Fragilaria austriaca,
224,Fragilariaceae,Fragilaria,Fragilaria bicapitata,
225,Fragilariaceae,Fragilaria,Fragilaria biceps,
226,Fragilariaceae,Fragilaria,Fragilaria bidens,
227,Fragilariaceae,Fragilaria,Fragilaria brevistriata,
228,Fragilariaceae,Fragilaria,Fragilaria canariensis,
229,Fragilariaceae,Fragilaria,Fragilaria capitellata,
231,Licmophoraceae,Licmophora,Fragilaria capucina,
232,Fragilariaceae,Fragilaria,Fragilaria construens,
234,Fragilariaceae,Fragilaria,Fragilaria delicatissima,
235,Fragilariaceae,Fragilaria,Fragilaria elliptica,
236,Fragilariaceae,Fragilaria,Fragilaria exigua,
238,Fragilariaceae,Tabularia,Fragilaria fasciculata,
240,Fragilariaceae,Fragilaria,Fragilaria henryi,
242,Fragilariaceae,Fragilaria,Fragilaria nanana,
243,Fragilariaceae,Fragilaria,Fragilaria nitzschioides,
245,Fragilariaceae,Pseudostaurosira,Fragilaria parasitica,
246,Fragilariaceae,Fragilaria,Fragilaria pectinalis,
248,Fragilariaceae,Staurosirella,Fragilaria pinnata,
249,Fragilariaceae,Fragilaria,Fragilaria pseudoconstruens,
250,Licmophoraceae,Licmophora,Fragilaria pulchella,
251,Fragilariaceae,Fragilaria,Fragilaria recapitellata,
252,Fragilariaceae,Fragilaria,Fragilaria rumpens,
253,Fragilariaceae,Synedra,Fragilaria socia,
255,Bacillariaceae,Bacillaria,Fragilaria ulna,
256,Fragilariaceae,Synedra,Fragilaria ulna,
258,Fragilariaceae,Fragilaria,Fragilaria virescens,
259,Fragilariaceae,Synedra,Fragilaria capucina,
260,Amphipleuraceae,Frustulia,Frustulia erifuga,
261,Amphipleuraceae,Frustulia,Frustulia rhomboides,
262,Naviculaceae,Navicula,Frustulia rhomboides,
263,Amphipleuraceae,Frustulia,Frustulia vulgaris,
264,Naviculaceae,Geissleria,Geissleria acceptata,
266,Naviculaceae,Navicula,Geissleria schoenfeldii,
267,Gomphonemataceae,Gomphoneis,Gomphoneis minuta,
269,Gomphonemataceae,Gomphonema,Gomphonema acidoclinatum,
271,Gomphonemataceae,Gomphonema,Gomphonema acutiusculum,
273,Gomphonemataceae,Gomphonema,Gomphonema angustatum,
274,Gomphonemataceae,Gomphonema,Gomphonema angusta,
275,Gomphonemataceae,Gomphonema,Gomphonema augur,
280,Gomphonemataceae,Gomphonema,Gomphonema ibericum,
281,Gomphonemataceae,Gomphonema,Gomphonema italicum,
283,Gomphonemataceae,Gomphonema,Gomphonema lateripunctatum,
284,Rhoicospheniaceae,Gomphosphenia,Gomphonema lingulatiformis,
287,Gomphonemataceae,Gomphonema,Gomphonema olivaceum,
288,Gomphonemataceae,Gomphonema,Gomphonema parvulius,
292,Gomphonemataceae,Gomphonema,Gomphonema rhombicum,
296,Gomphonemataceae,Gomphonema,Gomphonema tergestinum,
298,Gomphonemataceae,Gomphonema,Gomphonema uniserhombicum,
300,Rhoicospheniaceae,Gomphosphenia,Gomphosphenia oahuensis,
302,Pleurosigmataceae,Gyrosigma,Gyrosigma nodiferum,
303,Pleurosigmataceae,Gyrosigma,Gyrosigma scalproides,
304,Pleurosigmataceae,Gyrosigma,Gyrosigma spencerii,
312,Naviculaceae,Navicula,Hippodonta hungarica,
313,Naviculaceae,Navicula,Hippodonta pseudacceptata,
314,Achnanthidiaceae,Karayevia,Karayevia bottnica,
315,Achnanthidiaceae,Karayevia,Karayevia clevei,
316,Achnanthaceae,Achnanthes,Karayevia kolbei,
317,Achnanthaceae,Achnanthes,Karayevia laterostrata,
318,Achnanthaceae,Achnanthes,Karayevia oblongella,
319,Achnanthidiaceae,Karayevia,Karayevia ploenensis,
321,Naviculaceae,Kobayasiella,Kobayasiella subtilissima,
322,Achnanthaceae,Achnanthes,Kolbesia gessneri,
324,Stauroneidaceae,Stauroneis,Luticola cohnii,
325,Diadesmidaceae,Luticola,Luticola goeppertiana,
326,Naviculaceae,Navicula,Luticola mutica,
327,Diadesmidaceae,Luticola,Luticola ventriconfusa,
329,Mastogloiaceae,Mastogloia,Mastogloia baltica,
330,Naviculaceae,Navicula,Mayamaea agrestis,
332,Naviculaceae,Navicula,Mayamaea atomus,
333,Naviculaceae,Navicula,Mayamaea excelsa,
338,Naviculaceae,Navicula,Navicula accommoda,
339,Naviculaceae,Navicula,Navicula agrestis,
340,Naviculaceae,Navicula,Navicula ammophila,
343,Naviculaceae,Navicula,Navicula arvensis,
344,Naviculaceae,Navicula,Navicula atomus,
345,Naviculaceae,Navicula,Navicula bacillum,
346,Naviculaceae,Navicula,Navicula capitata,
348,Naviculaceae,Navicula,Navicula cari,
349,Naviculaceae,Navicula,Navicula cariocincta,
350,Naviculaceae,Navicula,Navicula cataracta-rheni,
351,Naviculaceae,Navicula,Navicula caterva,
353,Naviculaceae,Navicula,Navicula clementioides,
354,Naviculaceae,Navicula,Navicula clementis,
355,Diadesmidaceae,Humidophila,Navicula contenta,
358,Naviculaceae,Navicula,Navicula cryptotenelloides,
359,Naviculaceae,Navicula,Navicula decussis,
360,Naviculaceae,Navicula,Navicula difficillima,
361,Naviculaceae,Navicula,Navicula dissipata,
363,Pinnulariaceae,Pinnularia,Navicula elginensis,
364,Naviculaceae,Navicula,Navicula erifuga,
365,Naviculaceae,Navicula,Navicula evanida,
366,Naviculaceae,Navicula,Navicula exilis,
367,Diadesmidaceae,Humidophila,Navicula gallica,
369,Stauroneidaceae,Stauroneis,Navicula goeppertiana,
371,Amphipleuraceae,Frustulia,Navicula halophila,
372,Naviculaceae,Navicula,Navicula heimansii,
373,Naviculaceae,Navicula,Navicula heimansioides,
374,Naviculaceae,Navicula,Navicula helensis,
375,Naviculaceae,Navicula,Navicula hintzii,
377,Naviculaceae,Navicula,Navicula laterostrata,
378,Naviculaceae,Navicula,Navicula leptostriata,
379,Naviculaceae,Navicula,Navicula longicephala,
380,Naviculaceae,Navicula,Navicula lundii,
381,Naviculaceae,Navicula,Navicula madeirensis,
382,Naviculaceae,Navicula,Navicula maidanae,
383,Naviculaceae,Navicula,Navicula medioconvexa,
384,Naviculaceae,Navicula,Navicula menisculus,
385,Naviculaceae,Navicula,Navicula milthersii,
386,Naviculaceae,Navicula,Navicula mimicans,
387,Naviculaceae,Navicula,Navicula minima,
388,Naviculaceae,Navicula,Navicula minuscula,
389,Naviculaceae,Navicula,Navicula minusculoides,
390,Naviculaceae,Navicula,Navicula molestiformis,
391,Stauroneidaceae,Stauroneis,Navicula mutica,
392,Naviculaceae,Navicula,Navicula notha,
393,Naviculaceae,Navicula,Navicula novaesiberica,
394,Naviculaceae,Navicula,Navicula phyllepta,
395,Naviculaceae,Navicula,Navicula porifera,
396,Naviculaceae,Navicula,Navicula pseudoarvensis,
397,Naviculaceae,Navicula,Navicula pseudolanceolata,
398,Naviculaceae,Navicula,Navicula pseudoventralis,
399,Naviculaceae,Navicula,Navicula pupula,
400,Naviculaceae,Navicula,Navicula pygmaea,
402,Naviculaceae,Navicula,Navicula radiosafallax,
403,Naviculaceae,Navicula,Navicula reichardtiana,
404,Naviculaceae,Navicula,Navicula rhynchocephala,
407,Naviculaceae,Navicula,Navicula saprophila,
408,Naviculaceae,Navicula,Navicula schmassmannii,
409,Naviculaceae,Navicula,Navicula schoenfeldii,
410,Naviculaceae,Navicula,Navicula schroeteri,
411,Naviculaceae,Navicula,Navicula seminulum,
412,Naviculaceae,Navicula,Navicula simulata,
413,Naviculaceae,Navicula,Navicula striolata,
414,Naviculaceae,Navicula,Navicula subminuscula,
415,Naviculaceae,Navicula,Navicula subtilissima,
417,Naviculaceae,Navicula,Navicula tenelloides,
421,Naviculaceae,Navicula,Navicula vilaplanii,
422,Naviculaceae,Navicula,Navicula viridula,
423,Naviculaceae,Navicula,Navicula vitabunda,
424,Naviculaceae,Navicula,Navicula wildii,
425,Naviculaceae,Navicula,Naviculadicta laterostrata,
426,Sellaphoraceae,Sellaphora,Naviculadicta pseudoventralis,
428,Neidiaceae,Neidium,Neidium alpinum,
429,Neidiaceae,Neidium,Neidium amphirhynchus,
430,Neidiaceae,Neidium,Neidium ampliatum,
431,Neidiaceae,Neidium,Neidium densestriatum,
433,Neidiaceae,Neidium,Neidium septentrionalis,
439,Bacillariaceae,Nitzschia,Nitzschia amphibioides,
440,Bacillariaceae,Nitzschia,Nitzschia angustata,
441,Bacillariaceae,Nitzschia,Nitzschia archibaldii,
442,Bacillariaceae,Nitzschia,Nitzschia brevissima,
444,Bacillariaceae,Nitzschia,Nitzschia clausii,
447,Bacillariaceae,Nitzschia,Nitzschia debilis,
448,Bacillariaceae,Nitzschia,Nitzschia disputata,
450,Bacillariaceae,Nitzschia,Nitzschia diversa,
455,Bacillariaceae,Nitzschia,Nitzschia gessneri,
456,Bacillariaceae,Nitzschia,Nitzschia graciliformis,
459,Bacillariaceae,Nitzschia,Nitzschia hungarica,
460,Bacillariaceae,Nitzschia,Nitzschia incognita,
462,Bacillariaceae,Nitzschia,Nitzschia lacuum,
463,Bacillariaceae,Tryblionella,Nitzschia levidensis,
464,Bacillariaceae,Nitzschia,Nitzschia liebethruthii,
466,Bacillariaceae,Nitzschia,Nitzschia macaronesica,
467,Bacillariaceae,Nitzschia,Nitzschia media,
469,Bacillariaceae,Nitzschia,Nitzschia nana,
471,Fragilariaceae,Synedra,Nitzschia palea,
473,Bacillariaceae,Nitzschia,Nitzschia paleaeformis,
478,Bacillariaceae,Nitzschia,Nitzschia rosenstockii,
479,Bacillariaceae,Nitzschia,Nitzschia scalpelliformis,
481,Bacillariaceae,Denticula,Nitzschia sinuata,
482,Bacillariaceae,Nitzschia,Nitzschia sociabilis,
483,Bacillariaceae,Nitzschia,Nitzschia solita,
484,Bacillariaceae,Nitzschia,Nitzschia subacicularis,
486,Bacillariaceae,Nitzschia,Nitzschia tabellaria,
490,Amphipleuraceae,Frustulia,Nitzschia vermicularis,
493,Naviculaceae,Nupela,Nupela imperfecta,
494,Naviculaceae,Nupela,Nupela lapidosa,
497,Naviculaceae,Navicula,Parlibellus protractus,
500,Pinnulariaceae,Pinnularia,Pinnularia acoricola,
501,Amphipleuraceae,Frustulia,Pinnularia appendiculata,
503,Pinnulariaceae,Pinnularia,Pinnularia braunii,
505,Pinnulariaceae,Pinnularia,Pinnularia brevicostata,
507,Pinnulariaceae,Pinnularia,Pinnularia divergentissima,
509,Pinnulariaceae,Pinnularia,Pinnularia globiceps,
510,Pinnulariaceae,Pinnularia,Pinnularia interrupta,
511,Pinnulariaceae,Pinnularia,Pinnularia lundii,
512,Pinnulariaceae,Pinnularia,Pinnularia macilenta,
513,Pinnulariaceae,Pinnularia,Pinnularia major,
515,Pinnulariaceae,Pinnularia,Pinnularia obscura,
516,Pinnulariaceae,Pinnularia,Pinnularia rupestris,
517,Pinnulariaceae,Pinnularia,Pinnularia similis,
518,Pinnulariaceae,Pinnularia,Pinnularia streptoraphe,
519,Pinnulariaceae,Pinnularia,Pinnularia subbrevistriata,
522,Pinnulariaceae,Pinnularia,Pinnularia subgigas,
523,Pinnulariaceae,Pinnularia,Pinnularia subrostrata,
526,Cymbellaceae,Placoneis,Placoneis placentula,
527,Cymbellaceae,Placoneis,Placoneis pseudanglica,
528,Achnanthaceae,Achnanthes,Planothidium conspicuum,
529,Achnanthaceae,Achnanthes,Planothidium daui,
530,Achnanthidiaceae,Achnanthidium,Planothidium delicatulum,
531,Achnanthaceae,Achnanthes,Planothidium distinctum,
532,Achnanthidiaceae,Planothidium,Planothidium ellipticum,
533,Achnanthaceae,Achnanthes,Planothidium engelbrechtii,
535,Achnanthaceae,Achnanthes,Planothidium granum,
536,Achnanthidiaceae,Planothidium,Planothidium hauckianum,
537,Achnanthidiaceae,Planothidium,Planothidium haynaldii,
539,Achnanthidiaceae,Planothidium,Planothidium minutissimum,
540,Achnanthidiaceae,Planothidium,Planothidium rostratum,
541,Achnanthaceae,Achnanthes,Platessa conspicua,
543,Pinnulariaceae,Pinnularia,Prestauroneis integra,
544,Achnanthaceae,Achnanthes,Psammothidium chlidanos,
545,Achnanthaceae,Achnanthes,Psammothidium marginulatum,
546,Achnanthidiaceae,Psammothidium,Psammothidium oblongellum,
547,Achnanthidiaceae,Psammothidium,Psammothidium sacculum,
548,Naviculaceae,Navicula,Psammothidium subatomoides,
549,Sellaphoraceae,Pseudofallacia,Pseudofallacia monoculata,
551,Fragilariaceae,Pseudostaurosira,Pseudostaurosira alvareziae,
553,Fragilariaceae,Pseudostaurosira,Pseudostaurosira parasitica,
554,Fragilariaceae,Fragilaria,Pseudostaurosira subsalina,
555,Fragilariaceae,Punctastriata,,
556,Stephanodiscaceae,Puncticulata,Puncticulata radiosa,
558,Gomphonemataceae,Reimeria,Reimeria uniseriata,
560,Rhoicospheniaceae,Rhoicosphenia,Rhoicosphenia adriatica,
561,Rhopalodiaceae,Rhopalodia,Rhopalodia gibba,
563,Sellaphoraceae,Sellaphora,Sellaphora minima,
566,Bacillariaceae,Nitzschia,Simonsenia delognei,
567,Fragilariaceae,Fragilaria,Stauroforma exiguiformis,
570,Stauroneidaceae,Stauroneis,Stauroneis javanica,
571,Stauroneidaceae,Stauroneis,Stauroneis kriegeri,
572,Stauroneidaceae,Stauroneis,Stauroneis legumen,
574,Stauroneidaceae,Stauroneis,Stauroneis producta,
575,Stauroneidaceae,Stauroneis,Stauroneis smithii,
576,Stauroneidaceae,Stauroneis,Stauroneis thermicola,
578,Fragilariaceae,Fragilaria,Staurosira brevistriata,
581,Fragilariaceae,Fragilaria,Staurosira mutabilis,
583,Fragilariaceae,Staurosirella,,
584,Fragilariaceae,Staurosirella,Staurosirella pinnata,
585,Surirellaceae,Surirella,Stenopterobia delicatissima,
587,Stephanodiscaceae,Stephanodiscus,Stephanodiscus invisitatus,
588,Stephanodiscaceae,Stephanodiscus,Stephanodiscus medius,
590,Surirellaceae,Surirella,Surirella amphioxys,
592,Surirellaceae,Surirella,Surirella biseriata,
594,Surirellaceae,Surirella,Surirella constricta,
595,Surirellaceae,Surirella,Surirella linearis,
598,Surirellaceae,Surirella,Surirella roba,
599,Surirellaceae,Surirella,Surirella robusta,
600,Naviculaceae,Navicula,Synedra gaillonii,
601,Tabellariaceae,Tabellaria,Tabellaria fenestrata,
603,Tabellariaceae,Tabellaria,,
604,Tabellariaceae,Tabellaria,Tabellaria ventricosa,
605,Fragilariaceae,Tabularia,Tabularia fasciculata,
606,Thalassiosiraceae,Thalassiosira,Thalassiosira visurgis,
608,Bacillariaceae,Tryblionella,Tryblionella calida,
610,Bacillariaceae,Tryblionella,Tryblionella levidensis,
611,Fragilariaceae,Synedra,Ulnaria biceps,
612,Fragilariaceae,Synedra,Ulnaria delicatissima,
